sales_date,store_id,sku_id,sold_quantity,transaction_count,max_transaction_quantity,average_selling_price,input_snapshot_version,source_type
2026-09-02,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-03,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-04,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-05,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-06,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-07,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-08,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-09,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-10,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-11,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-12,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-13,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-14,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-15,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-16,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-17,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-18,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-19,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-20,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-21,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-22,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-23,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-24,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-25,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-26,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-27,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-28,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-29,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-02,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-03,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-04,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-05,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-06,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-07,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-08,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-09,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-10,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-11,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-12,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-13,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-14,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-15,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-16,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-17,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-18,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-19,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-20,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-21,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-22,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-23,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-24,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-25,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-26,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-27,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-28,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-29,STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-02,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-03,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-04,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-05,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-06,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-07,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-08,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-09,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-10,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-11,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-12,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-13,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-14,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-15,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-16,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-17,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-18,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-19,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-20,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-21,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-22,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-23,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-24,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-25,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-26,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-27,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-28,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-29,STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,2,2,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-02,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-03,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-04,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-05,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-06,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-07,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-08,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-09,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-10,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-11,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-12,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-13,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
2026-09-14,STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,1,1,100000.00,MVP-2-GS-V1,SYNTHETIC
