store_id,sku_id,display_minimum,safety_stock,maximum_capacity,target_coverage_days,retained_days,input_snapshot_version,assumption_type
STORE-MVP2-RECEIVER-A,SKU-MVP2-GS01-STABLE,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-DONOR-A,SKU-MVP2-GS01-STABLE,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-RECEIVER-A,SKU-MVP2-GS02-EVENT,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-DONOR-A,SKU-MVP2-GS02-EVENT,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-RECEIVER-A,SKU-MVP2-GS03-SPIKE,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-DONOR-A,SKU-MVP2-GS03-SPIKE,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-RECEIVER-A,SKU-MVP2-GS04-OOS,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-DONOR-A,SKU-MVP2-GS04-OOS,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-RECEIVER-A,SKU-MVP2-GS05-INBOUND,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-DONOR-A,SKU-MVP2-GS05-INBOUND,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-RECEIVER-A,SKU-MVP2-GS06-ROUTE,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
STORE-MVP2-DONOR-B,SKU-MVP2-GS06-ROUTE,1,2,100,7,14,MVP-2-GS-V1,ASSUMPTION
